City,Industry,Company Name,Company Type,Company Size,Job Title,Education level,Years of Industry Experience,Annual Base Salary,Compensation - Annual Target Bonus ($),Annual Target Bonus ($),Sign on Bonus Value,Relocation Assistance,Country,Overtime Rate,Year,Annual Equity,Retirement Benefits,Healthcare Benefits,Most recent annual yearly raise (%),Country,Where are you located?,US State,Canadian Province,Role type,Work from home days per week,Annual Target Bonus (%),Commission,Sign on Bonus,Sign on Equity Options,Years at current position,Currency,City_cleaned,State_inferred
nan,Industrial Biotech,Amgen ,Public,5000+,Associate ,Bachelors or Equivalent,4,71000,,8000,,,,N/A (no overtime/salaried),2024,Not Applicable/None,5% match,$1000 personal spending account and full benefits,Have not been long enough to have an annual yearly raise,,Canada,,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Merck,Public,5000+,"Specialist, Clinical Operations ",Bachelors or Equivalent,5,109000,,10900,,,,N/A (no overtime/salaried),2024,Not Applicable/None,"Pension, 4.5% 401k match",Blue Cross Blue Shield,4%,,"Pharma Central (NY, NJ, PA)",,,,,,,,,,,Nan,
nan,Academia/Research/Institution,Prefer not to say,Subsidiary,200-1000,Scientist,PhD or Equivalent,1,141000,,"28,200",,,,N/A (no overtime/salaried),2024,Not Applicable/None,"Matches 100% up to $3000, 50% up to 401k limit","0$ monthly cost, contributes $1000 yearly to HSA, $1600 deductible ",3.60%,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Contract Manufacturing Organization,Prefer not to say,Public,5000+,MSAT Process Expert,Masters or Equivalent,6,106000,,13780,,,,N/A (no overtime/salaried),2024,Not Applicable/None,Pension Match,,2%,,Switzerland,,,,,,,,,,,Nan,
nan,Conservation,Prefer not to say,Private,50-200,Senior Research Associate,Bachelors or Equivalent,3,110000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,30000,Match 5%,,Have not been long enough to have an annual yearly raise,,"South & Mountain West (TX to AZ, North to MT)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Merck,Public,5000+,Sr. Scientist,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent, Masters or Equivalent",5,118000,,15000,,,,N/A (no overtime/salaried),2024,Not Applicable/None,"3/4 matching up to 6%, 4.5% pension",,3.5,,"Pharma Central (NY, NJ, PA)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,Principal Scientist,"High School or Equivalent, Bachelors or Equivalent, PhD or Equivalent",5,183000,,40260,10000,,,N/A (no overtime/salaried),2024,40000,401k match ,All,3,,West Coast (California & Pacific Northwest),,,,,,,,10000,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Private,1000-5000,Principal Biostatistician,PhD or Equivalent,1,150000,,22500,10000,,,N/A (no overtime/salaried),2024,15000,401k match %,,Have not been long enough to have an annual yearly raise,,"DC Metro Area (DC, VA, MD, DE)",,,,,,,,,,,Nan,
nan,Academia/Research/Institution,KU Leuven,Academia/College/Universities,5000+,Lab technician,Masters or Equivalent,4,23230,,Not Applicable/None,0,,,2x base,2024,Not Applicable/None,"Pension plan, no choice in agency",Per Flemish law,"Yearly raises within same wage scale, no raises in scale. Underpaid by 4 wage scales (1 instead of 5) due to asshat management. Told to take it up with PI or leave.",,Belgium,,,,,,,,0,,,Nan,
nan,Contract Manufacturing Organization,Prefer not to say,Private,200-1000,Process Development Engineer,Masters or Equivalent,4,47000,,13th salary,,,,N/A (no overtime/salaried),2024,Not Applicable/None,Legally required pension payments,Mandatory public health insurance,3.50%,,Germany,,,,,,,,,,,Nan,
nan,Venture investing,Prefer not to say,Public,5000+,VP,PhD or Equivalent,9,225000,,95000,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k,,Company/Institution does not have annual yearly raise,,"Pharma Central (NY, NJ, PA)",,,,,,,,,,,Nan,
nan,Contract Manufacturing Organization,Prefer not to say,Private,5000+,Project engineer,Bachelors or Equivalent,7,125000,,13%,10000,,,1x base,2024,3000 USD,Company pension fund,,Inflation,,Switzerland,,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Pfizer,Public,5000+,"Medical Director, Medical Affairs",PhD or Equivalent,9,225000,,20%,,,,N/A (no overtime/salaried),2024,50000 mixed RSU TRSU LTI,401K match 6%,,3.75 this year,,"Pharma Central (NY, NJ, PA)",,,,,,,,none,,,Nan,
nan,Contract Research Organization,Prefer not to say,Private,Jan-50,Marketing Specialist,Masters or Equivalent,1,73500,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k matching,,Have not been long enough to have an annual yearly raise,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,50-200,Senior Research Associate,"Bachelors or Equivalent, Masters or Equivalent",5,116000,,"12,000",,,,N/A (no overtime/salaried),2024,"15,000",401K match 5% and ESPP (15% discount),"Full covered HDHP + HSA ($4,000)",3.3,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Contract Research Organization,ICON ,Public,5000+,CRA ,"Bachelors or Equivalent, Masters or Equivalent",4,115000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,10% Super ,,3%,,Australia ,,,,,,,,,,,Nan,
nan,Government,Sciensano,Government,1000-5000,Laboratory Expert,Bachelors or Equivalent,1,29496,,Not Applicable/None,0,,,"Recuperation of overtime as half days or full days of free time (subject to approval of hierarchical superior, no more than 40 hours transferred per four months, no more than two full days per four months).",2024,Not Applicable/None,+-100 eur/month in pension plan (of their choosing),0,Yearly raises,,Belgium,,,,,,,,0,,,Nan,
nan,Industrial Biotech,Blueprint Medicines,Public,200-1000,Manager,Bachelors or Equivalent,10,160000,,15%,0,,,N/A (no overtime/salaried),2024,40000,6% 401k company match,high deductible but company reimburses deductible ,4,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,"1500 options, 500 RSU",,,Nan,
nan,Industrial Biotech,Prefer not to say,Private,50-200,Senior scientist,"High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent",13,150000,,18%,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,,,Company/Institution does not have annual yearly raise,,West Coast (California & Pacific Northwest),,,,,,,,"50,000 stock options in early stage company",,,Nan,
nan,Contract Manufacturing Organization,Catalent,Public,5000+,Senior Associate Scientist,Masters or Equivalent,7,85000,,"Max5%, never actually over 2% even with goals met",0,,,Weekend duty stipend $500 per 4hr+ day,2024,"Employee stock purchase plan, not the same",Details not recalled,Full details not recalled. HSA option but no company contribution.,3%,,"Midwest (From OH to KS, North to ND)",,,,,,,,0,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,1000-5000,Senior Director,Bachelors or Equivalent,19,250000,,62500,,,,N/A (no overtime/salaried),2024,250000,"401k match, ESPP",,3,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Contract Research Organization,Prefer not to say,Public,1000-5000,Reseach Associate,"Bachelors or Equivalent, Masters or Equivalent",4,78000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401K match 3%,,Have not been long enough to have an annual yearly raise,,"Pharma Central (NY, NJ, PA)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Public,50-200,Senior Director,PharmD or Equivalent,14,296400,,25%,,,,N/A (no overtime/salaried),2024,25000,3% 401k,free,3%,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Start-up,Jan-50,Lead Scientist,PhD or Equivalent,4,54000,,5400,3000,,,N/A (no overtime/salaried),2024,Not Applicable/None,Company contributes 7% of salary to pension,Private healthcare,Have not been long enough to have an annual yearly raise,,United Kingdom and Ireland,,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Public,5000+,Global Product Manager,Masters or Equivalent,8,137000,,15,,,,N/A (no overtime/salaried),2024,8000,4% match,,3,,"DC Metro Area (DC, VA, MD, DE)",,,,,,,,,,,Nan,
nan,Therapeutics,Prefer not to say,Private,50-200,Research Associate,"High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent",2,83200,,Not Applicable/None,,,,1.5x,2024,Not Applicable/None,0,,Have not been long enough to have an annual yearly raise,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Private,5000+,Technician,Masters or Equivalent,0,54000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,N.a.,,Have not been long enough to have an annual yearly raise,,Germany,,,,,,,,,,,Nan,
nan,Government,Prefer not to say,Government,50-200,Bioinformatician,PhD or Equivalent,5,67000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,$26/month 401k match,,2.3,,"South & Mountain West (TX to AZ, North to MT)",,,,,,,,,,,Nan,
nan,Government,Frederick National Laboratory ,Government,1000-5000,Scientist I,PhD or Equivalent,2,85196.8,,2000,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,4% 401k match,"Cigna medical coverage, vision, dental, HSA, FSA",2.52,,"DC Metro Area (DC, VA, MD, DE)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Merck,Public,5000+,Engineering specialist,Bachelors or Equivalent,4,98800,,9880,8000,,,N/A (no overtime/salaried),2024,Not Applicable/None,Company matches 75% of the first 6% of contributions (i.e. 4.5% match). Additional 4.5% is added by the company to a pension.,,4,,"Pharma Central (NY, NJ, PA)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Public,200-1000,Scientist,Masters or Equivalent,8,140000,,"21,000",0,,,N/A (no overtime/salaried),2024,about 1000 shares a year that vest 25% a year,4% 401k Match,,2-5%,,West Coast (California & Pacific Northwest),,,,,,,,9000 shares,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,Senior Statistical Programmer,"High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent",3,130000,,15600,10000,,,N/A (no overtime/salaried),2024,40000,4% 401k match,,Have not been long enough to have an annual yearly raise,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Private,Jan-50,Senior associate scientist,Bachelors or Equivalent,6,135000,,20250,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k,Healthcare,4%,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Contract Research Organization,Charles River Labs,Public,5000+,Research Analyst 1,"High School or Equivalent, Bachelors or Equivalent",3,48880,,Not Applicable/None,,,,1.5x,2024,Not Applicable/None,"5% 401k matching (3% full, 2% half)",,2%,,"Midwest (From OH to KS, North to ND)",,,,,,,,,,,Nan,
nan,Contract Research Organization,Syneos Health plc,Private,5000+,Senior Clinical Research Associate I,"Bachelors or Equivalent, Masters or Equivalent",6,53000,,Not Applicable/None,10000,,,1.5x base,2024,Not Applicable/None,The Government pays the retirement in Spain not the company,"health care insurance, dental and life",500€,,Spain,,,,,,,,,,,Nan,
nan,Agriculture,Bayer crop science,Public,5000+,Post doc,PhD or Equivalent,5,950000,,Not Applicable/None,7000,,,N/A (no overtime/salaried),2024,Not Applicable/None,3% match,,3.40%,,"Midwest (From OH to KS, North to ND)",,,,,,,,,,,Nan,
nan,Government,Prefer not to say,Government,50-200,Strategy Lead,"Masters or Equivalent, PhD or Equivalent",6,165000,,Not Applicable/None,10000,,,N/A (no overtime/salaried),2024,Not Applicable/None,6% 401k match,,Have not been long enough to have an annual yearly raise,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,0,,,Nan,
nan,Big Pharmaceuticals,Legend Biotech,Public,1000-5000,Sr. Investigator,Bachelors or Equivalent,7,128000,,13000,10000,,,N/A (no overtime/salaried),2024,20000,Approx 5% 401K match,Excellent 0 deductible health care plans,5%,,"Pharma Central (NY, NJ, PA)",,,,,,,,10000,,,Nan,
nan,Big Pharmaceuticals,Pfizer,Public,5000+,Scientist,Bachelors or Equivalent,5,98000,,5000,,,,N/A (no overtime/salaried),2024,Not Applicable/None,"4.5% to 6% match, additional biyearly 401k contribution by employer outside match",,4,,"Midwest (From OH to KS, North to ND)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Trailhead Biosystems,Start-up,50-200,Senior cell culture technician ,Bachelors or Equivalent,3,55000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,"2000 stock options, 50 cent execution price",401k with matching available with vesting after 4 years,,Have not been long enough to have an annual yearly raise,,"Midwest (From OH to KS, North to ND)",,,,,,,,,,,Nan,
nan,Biotech Equipment,Thermo Fisher,Public,5000+,Field scientist,PhD or Equivalent,2,95000,,15000,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,6% 401k match,270/month,0-10%,,"Midwest (From OH to KS, North to ND)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Public,1000-5000,Senior manager ,Bachelors or Equivalent,9,185000,,27750,10000,,,N/A (no overtime/salaried),2024,26500,3% match,"HSA, plans are cheap about 125/ biweekly paycheck ",2.50%,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,pharma startup,Prefer not to say,Start-up,Jan-50,Principal Scientist,PhD or Equivalent,4,200000,,40000,10000,,,N/A (no overtime/salaried),2024,Not Applicable/None,5% 401k match,,Have not been long enough to have an annual yearly raise,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Iovance,Public,200-1000,Training Specialist 1,Bachelors or Equivalent,7,110000,,11000,5000,,,N/A (no overtime/salaried),2024,5000,100% match up to 4% salary. No pension,"4 options: 2 HSA, 2 UHC plans",3.5,,"Pharma Central (NY, NJ, PA)",,,,,,,,ESPP available to enroll 2x per year,,,Nan,
nan,Medical/Health Devices,Prefer not to say,Private,50-200,Project Manager ,"High School or Equivalent, Bachelors or Equivalent",6,110000,,Not Applicable/None,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,0,"HSA eligible high deductible health plan, no out of pocket premiums for employees ",10%,,"South & Mountain West (TX to AZ, North to MT)",,,,,,,,0,,,Nan,
nan,Industrial Biotech,Generate: Biomedicines,Private,200-1000,Scientist II,PhD or Equivalent,4,130000,,16250,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k - 3% match,,7.5,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Public,200-1000,associate director,PhD or Equivalent,14,192000,,Not Applicable/None,10000,,,N/A (no overtime/salaried),2024,60000,401k 4%,,2,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Academia/Research/Institution,Yale University,Academia/College/Universities,5000+,Postgraduate Associate,Masters or Equivalent,2,38400,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,,,Company/Institution does not have annual yearly raise,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Contract Research Organization,Prefer not to say,Public,200-1000,Laboratory technician II,Masters or Equivalent,20,79000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k,HSA,4,,"DC Metro Area (DC, VA, MD, DE)",,,,,,,,,,,Nan,
nan,Academia/Research/Institution,UOttawa ,Academia/College/Universities,1000-5000,Postdoctoral researcher ,"Bachelors or Equivalent, Masters or Equivalent, PhD or Equivalent",3,59500,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,0,,4.5,,Canada,,,,,,,,,,,Nan,
nan,Contract Research Organization,Prefer not to say,Start-up,Jan-50,Bioprocess Engineer,Masters or Equivalent,1,31000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,State pension,Full healthcare,8.8,,Austria,,,,,,,,,,,Nan,
nan,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,5000+,Flow Cytometry Specialist,Associate’s Degree or Equivalent,18,120000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401K,,2,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Industrial Biotech,Arcus Biosciences,Public,200-1000,Sr Scientist ,"Bachelors or Equivalent, PhD or Equivalent",2,166000,,"16,600",10000,,,N/A (no overtime/salaried),2024,10000,6% 401k,,6%,,West Coast (California & Pacific Northwest),,,,,,,,20000,,,Nan,
nan,Pharmaceutical Start-up,Prefer not to say,Public,50-200,Sr. Scientist,"High School or Equivalent, Bachelors or Equivalent",8,128000,,12800,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,5% 401k match,"Medical/dental/vision, low deductible, 180 a month for two people. Through Anthem/Delta Dental. ",7,,West Coast (California & Pacific Northwest),,,,,,,,"ESPP, RSUs",,,Nan,
nan,Contract Manufacturing Organization,Prefer not to say,Public,1000-5000,Scientist ,PhD or Equivalent,8,111000,,10%,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k match 6%,,6%,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Merck,Public,5000+,Quality Specialist Environmental Monitoring,Bachelors or Equivalent,6,95680,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,I'm a contractor so none,,Have not been long enough to have an annual yearly raise,,"Pharma Central (NY, NJ, PA)",,,,,,,,,,,Nan,
nan,Academia/Research/Institution,Prefer not to say,Start-up,Jan-50,Scientist I,PhD or Equivalent,0,125000,,Not Applicable/None,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,0,0,Have not been long enough to have an annual yearly raise,,"South & Mountain West (TX to AZ, North to MT)",,,,,,,,0,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,Senior manager ,"High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent",10,167500,,29300,,,,N/A (no overtime/salaried),2024,17000,9% 401k match ,Very low cost ,4,,"Pharma Central (NY, NJ, PA)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Start-up,50-200,QC,Masters or Equivalent,0,65000,,5%,,,,N/A (no overtime/salaried),2024,Not Applicable/None,3%,,Have not been long enough to have an annual yearly raise,,"Carolinas & Southeast (From NC to AR, South FL and LA)",,,,,,,,,,,Nan,
nan,Health insurer/HMO,Prefer not to say,Private,5000+,Biostatistician IC (2 YoE post-PhD),PhD or Equivalent,7,292000,,10-30%,,,,N/A (no overtime/salaried),2024,Not Applicable/None,"7% 401k contribution on salary up to 345k, and pension",,7,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Private,Jan-50,Scientist,Bachelors or Equivalent,18,141000,,14100,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k match,,4,,West Coast (California & Pacific Northwest),,,,,,,,100000,,,Nan,
nan,Big Pharmaceuticals,Novartis,Public,5000+,Principal Scientist I,"High School or Equivalent, Bachelors or Equivalent, PhD or Equivalent",4,145000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,4% 401K match (increases with age) ,,3%,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Private,200-1000,Research Associate II ,Bachelors or Equivalent,4,95000,,Based on company and individual performance,,,,1.5x base,2024,Not Applicable/None,"401k, no match ",,3%,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,Director,PhD or Equivalent,6,220000,,50000,,,,N/A (no overtime/salaried),2024,50000,6% 401k match,,3,,"Pharma Central (NY, NJ, PA)",,,,,,,,,,,Nan,
nan,Medical/Health Devices,Prefer not to say,Public,5000+,Senior Scientist II,"Bachelors or Equivalent, Masters or Equivalent, PhD or Equivalent",4,135000,,25%,10000,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k match 100% up to 6%,25000,5%,,"Midwest (From OH to KS, North to ND)",,,,,,,,0,,,Nan,
nan,Startup,Prefer not to say,Private,50-200,Principal Scientist,PhD or Equivalent,19,176000,,20%,0,,,N/A (no overtime/salaried),2024,"I have shares, but I don't know the value",No benefit,"90% paid, $2900 decuctible, BlueCross BlueSheild, company provides $2000 for HSA",9.50%,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,0,,,Nan,
nan,Academia/Research/Institution,Gates Biomanufacturing Facility,Academia/College/Universities,50-200,PRA ,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent",12,82500,,Not Applicable/None,,,,Flex time PTO at 1.5x number of hours worked,2024,Not Applicable/None,403b 10% match,"Anthem blue cross blue shield, PPO",3%,,"South & Mountain West (TX to AZ, North to MT)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Private,5000+,Director,PhD or Equivalent,17,235000,,50000,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,401K match 8%,,3,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,0,,,Nan,
nan,Industrial Biotech,Prefer not to say,Public,50-200,Associate Director,PhD or Equivalent,7,190000,,38000,,,,N/A (no overtime/salaried),2024,50000,401k match 2%,,5,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Industrial Biotech,FogPharma,Start-up,50-200,Scientist II,PhD or Equivalent,2,125000,,12%,5000,,,N/A (no overtime/salaried),2024,Not Applicable/None,4% match,,Have not been long enough to have an annual yearly raise,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Eli Lilly,Public,5000+,Senior Associate Scientist II (Sr Sci II),"Bachelors or Equivalent, Masters or Equivalent",10,128000,,9000,5000,,,N/A (no overtime/salaried),2024,Not Applicable/None,"6% 401k match, pension after 5 years",,Have not been long enough to have an annual yearly raise,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,0,,,Nan,
nan,Contract Research Organization,Parexel,Private,5000+,Scientist,Bachelors or Equivalent,8,126000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401K Match 3%,,3%,,"Pharma Central (NY, NJ, PA)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Public,200-1000,Associate Scientist I,Bachelors or Equivalent,0,80000,,10%,,,,N/A (no overtime/salaried),2024,"550 stock options, 550 RSUs",3% 401k match (don't rlly know about others as much),free healthcare,Not sure,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Roche,Public,5000+,Senior Research Associate,Bachelors or Equivalent,5,88000,,4400,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,4% 401k Match,,3,,West Coast (California & Pacific Northwest),,,,,,,,0,,,Nan,
nan,Industrial Biotech,Lallemand,Private,1000-5000,Research Associate II,Bachelors or Equivalent,7,60000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k 6% match,,2.40%,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Academia/Research/Institution,Mascoma LLC,Private,50-200,Research Associate I,"High School or Equivalent, Bachelors or Equivalent",1,53400,,Not Applicable/None,4000,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k match up to 6%,,1.7,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,"Manager, QA",Masters or Equivalent,5,140000,,15%,15000,,,N/A (no overtime/salaried),2024,12000,4.50%,,4%,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,35000,,,Nan,
nan,Industrial Biotech,Lallemand / Mascoma LLC,Private,1000-5000,Research Associate I,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent",5,51000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,6% 401(k) match,,3.40%,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Academia/Research/Institution,Prefer not to say,Private,200-1000,Senior bioinformatics scientist,PhD or Equivalent,8,135000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,Full match up to 5% of salary,,2,,"Midwest (From OH to KS, North to ND)",,,,,,,,,,,Nan,
nan,Contract Research Organization,Inotiv,Public,1000-5000,Analytical Chemist,Masters or Equivalent,5,77000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,0,,Company/Institution does not have annual yearly raise,,"Carolinas & Southeast (From NC to AR, South FL and LA)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Start-up,Jan-50,Principal Scientist,PhD or Equivalent,5,170000,,25000,,,,N/A (no overtime/salaried),2024,Not Applicable/None,,,Have not been long enough to have an annual yearly raise,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Therapeutics,Prefer not to say,Start-up,50-200,Scientist I,Bachelors or Equivalent,8,135000,,16875,15000,,,N/A (no overtime/salaried),2024,10000,,,Have not been long enough to have an annual yearly raise,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Private,5000+,Specialist Engineering ,Bachelors or Equivalent,4,109000,,10000,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,"401k 4.5% match, pension",Blue Cross blue shield ,4%,,"Pharma Central (NY, NJ, PA)",,,,,,,,0,,,Nan,
nan,Academia/Research/Institution,Veteran's Medical Research Foundation,Academia/College/Universities,50-200,Research Associate II,"High School or Equivalent, Bachelors or Equivalent",4,60320,,Not Applicable/None,,,,1.5,2024,Not Applicable/None,401b,,3,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,200-1000,Senior director,Masters or Equivalent,17,296000,,90000,90000,,,N/A (no overtime/salaried),2024,5000,5% 401k match,,4,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,Senior Scientist,PhD or Equivalent,0,125000,,18000,10000,,,N/A (no overtime/salaried),2024,Not Applicable/None,8%,,Have not been long enough to have an annual yearly raise,,"Pharma Central (NY, NJ, PA)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Start-up,Jan-50,Senior Associate Scientist ,"High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent",9,132000,,13200,,,,N/A (no overtime/salaried),2024,Not Applicable/None,,Full coverage of premiums for individual or family,2.8,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,Associate Director,PhD or Equivalent,2,200000,,34000,30000,,,N/A (no overtime/salaried),2024,Not Applicable/None,"6% 401k match, pension ",,Have not been long enough to have an annual yearly raise,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Start-up,Jan-50,Associate Scientist,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent, Masters or Equivalent",4,60000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,,,10,,Canada,,,,,,,,,,,Nan,
nan,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,5000+,Junior Specialist,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent",3,51300,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,8% 401k match,,Have not been long enough to have an annual yearly raise,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Small biotech ,Prefer not to say,Private,Jan-50,Program Manager - Project Management ,Masters or Equivalent,15,123000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,"Offers 401k plan, but no match ",,"Typically 3 to 5 %, but it’s been 2 years since any raise ",,"South & Mountain West (TX to AZ, North to MT)",,,,,,,,,,,Nan,
